instance,trial,seed,best_makespan,best_iter,gap_%,time_s
ta52,1,1000,4004,99,45.283018867924525,107.89
ta52,2,1001,3934,98,42.74310595065312,107.23
ta52,3,1002,3815,99,38.425253991291726,109.32
