iter,reward_mean,timesteps_total
196,-13601.176470588236,219520
197,-13601.176470588236,220640
198,-13601.176470588236,221760
199,-13601.176470588236,222880
200,-13601.176470588236,224000
201,-13601.176470588236,225120
202,-13601.176470588236,226240
203,-13601.176470588236,227360
204,-13601.176470588236,228480
205,-13601.176470588236,229600
206,-13601.176470588236,230720
207,-13601.176470588236,231840
208,-13601.176470588236,232960
209,-13601.176470588236,234080
210,-13601.176470588236,235200
211,-13601.176470588236,236320
212,-13601.176470588236,237440
213,-13601.176470588236,238560
214,-13601.176470588236,239680
215,-13601.176470588236,240800
216,-13601.176470588236,241920
217,-13601.176470588236,243040
218,-13601.176470588236,244160
219,-13703.085714285715,245280
220,-13703.085714285715,246400
221,-13703.085714285715,247520
222,-13703.085714285715,248640
223,-13703.085714285715,249760
224,-13703.085714285715,250880
225,-13703.085714285715,252000
226,-13703.085714285715,253120
227,-13703.085714285715,254240
228,-13703.085714285715,255360
229,-13703.085714285715,256480
230,-13703.085714285715,257600
231,-13703.085714285715,258720
232,-13703.085714285715,259840
233,-13703.085714285715,260960
234,-13703.085714285715,262080
235,-13703.085714285715,263200
236,-13703.085714285715,264320
237,-13703.085714285715,265440
238,-13703.085714285715,266560
239,-13703.085714285715,267680
240,-13703.085714285715,268800
241,-13703.085714285715,269920
242,-13703.085714285715,271040
243,-13703.085714285715,272160
244,-13703.085714285715,273280
245,-13703.085714285715,274400
246,-13703.085714285715,275520
247,-13703.085714285715,276640
248,-13703.085714285715,277760
249,-13703.085714285715,278880
250,-13703.085714285715,280000
251,-13703.085714285715,281120
252,-13703.085714285715,282240
253,-13703.085714285715,283360
254,-13703.085714285715,284480
255,-13703.085714285715,285600
256,-13703.085714285715,286720
257,-13703.085714285715,287840
258,-13703.085714285715,288960
259,-13703.085714285715,290080
260,-13703.085714285715,291200
261,-13703.085714285715,292320
262,-13703.085714285715,293440
263,-13703.085714285715,294560
264,-13703.085714285715,295680
265,-13703.085714285715,296800
266,-13703.085714285715,297920
267,-13703.085714285715,299040
268,-13703.085714285715,300160
269,-13703.085714285715,301280
270,-14033.805555555555,302400
271,-14257.945945945947,303520
272,-14257.945945945947,304640
273,-14257.945945945947,305760
274,-14257.945945945947,306880
275,-14257.945945945947,308000
276,-14257.945945945947,309120
277,-14257.945945945947,310240
278,-14410.342105263158,311360
279,-14410.342105263158,312480
280,-14552.384615384615,313600
281,-14552.384615384615,314720
282,-14552.384615384615,315840
283,-14552.384615384615,316960
284,-14552.384615384615,318080
285,-14552.384615384615,319200
286,-14552.384615384615,320320
287,-15330.547619047618,321440
288,-15330.547619047618,322560
289,-15330.547619047618,323680
290,-15330.547619047618,324800
291,-15330.547619047618,325920
292,-15488.883720930233,327040
293,-15488.883720930233,328160
294,-15488.883720930233,329280
295,-15488.883720930233,330400
296,-15488.883720930233,331520
297,-15488.883720930233,332640
298,-15488.883720930233,333760
299,-15490.295454545454,334880
300,-15701.68888888889,336000
