iter,reward_mean,timesteps_total
1,,1120
2,,2240
3,,3360
4,,4480
5,,5600
6,,6720
7,,7840
8,,8960
9,,10080
10,,11200
11,,12320
12,,13440
13,,14560
14,,15680
15,,16800
16,,17920
17,,19040
18,,20160
19,,21280
20,,22400
21,,23520
22,,24640
23,,25760
24,,26880
25,,28000
26,,29120
27,-5781.0,30240
28,-6300.6,31360
29,-6236.25,32480
30,-6236.25,33600
31,-6054.416666666667,34720
32,-6116.5,35840
33,-6102.666666666667,36960
34,-6108.166666666667,38080
35,-6136.678571428572,39200
36,-6120.6551724137935,40320
37,-6120.6551724137935,41440
38,-6125.4,42560
39,-6125.4,43680
40,-6125.4,44800
41,-6151.935483870968,45920
42,-6151.935483870968,47040
43,-6151.935483870968,48160
44,-6151.935483870968,49280
45,-6151.935483870968,50400
46,-6174.03125,51520
47,-6174.03125,52640
48,-6174.03125,53760
49,-6174.03125,54880
50,-6174.03125,56000
51,-6174.03125,57120
52,-6174.03125,58240
53,-6174.03125,59360
54,-6174.03125,60480
55,-6174.03125,61600
56,-6174.03125,62720
57,-6174.03125,63840
58,-6174.03125,64960
59,-6174.03125,66080
60,-6174.03125,67200
61,-6174.03125,68320
62,-6196.30303030303,69440
63,-6196.30303030303,70560
64,-6196.30303030303,71680
65,-6196.30303030303,72800
66,-6196.30303030303,73920
67,-6196.30303030303,75040
68,-6196.30303030303,76160
69,-6196.30303030303,77280
70,-6196.30303030303,78400
71,-6196.30303030303,79520
72,-6196.30303030303,80640
73,-6196.30303030303,81760
74,-6196.30303030303,82880
75,-6196.30303030303,84000
76,-6196.30303030303,85120
77,-6196.30303030303,86240
78,-6196.30303030303,87360
79,-6223.441176470588,88480
80,-6223.441176470588,89600
81,-6223.441176470588,90720
82,-6223.441176470588,91840
83,-6259.314285714286,92960
84,-6259.314285714286,94080
85,-6259.314285714286,95200
86,-6259.314285714286,96320
87,-6259.314285714286,97440
88,-6259.314285714286,98560
89,-6259.314285714286,99680
90,-6259.314285714286,100800
91,-6259.314285714286,101920
92,-6259.314285714286,103040
93,-6465.472222222223,104160
94,-6465.472222222223,105280
95,-6465.472222222223,106400
96,-6465.472222222223,107520
97,-6465.472222222223,108640
98,-6465.472222222223,109760
99,-6465.472222222223,110880
100,-6465.472222222223,112000
101,-6465.472222222223,113120
102,-6465.472222222223,114240
103,-6465.472222222223,115360
104,-6465.472222222223,116480
105,-6465.472222222223,117600
106,-6465.472222222223,118720
107,-6465.472222222223,119840
108,-6465.472222222223,120960
109,-6465.472222222223,122080
110,-6465.472222222223,123200
111,-6465.472222222223,124320
112,-6465.472222222223,125440
113,-6465.472222222223,126560
114,-6465.472222222223,127680
115,-6678.7027027027025,128800
116,-6678.7027027027025,129920
117,-6916.921052631579,131040
118,-6916.921052631579,132160
119,-6916.921052631579,133280
120,-6916.921052631579,134400
121,-7101.333333333333,135520
122,-7101.333333333333,136640
123,-7101.333333333333,137760
124,-7101.333333333333,138880
125,-7101.333333333333,140000
126,-7101.333333333333,141120
127,-7322.4,142240
128,-7322.4,143360
129,-7322.4,144480
130,-7322.4,145600
131,-7322.4,146720
132,-7322.4,147840
133,-7322.4,148960
134,-7322.4,150080
135,-7322.4,151200
136,-7322.4,152320
137,-7322.4,153440
138,-7322.4,154560
139,-7335.073170731707,155680
140,-7335.073170731707,156800
141,-7335.073170731707,157920
142,-7335.073170731707,159040
143,-7335.073170731707,160160
144,-7335.073170731707,161280
145,-7335.073170731707,162400
146,-7335.073170731707,163520
147,-7335.073170731707,164640
148,-7488.761904761905,165760
149,-7488.761904761905,166880
150,-7488.761904761905,168000
151,-7488.761904761905,169120
152,-7488.761904761905,170240
153,-7488.761904761905,171360
154,-7703.46511627907,172480
155,-7703.46511627907,173600
156,-7703.46511627907,174720
157,-7703.46511627907,175840
158,-7703.46511627907,176960
159,-8088.066666666667,178080
160,-8088.066666666667,179200
161,-8218.782608695652,180320
162,-8218.782608695652,181440
163,-8218.782608695652,182560
164,-8418.787234042553,183680
165,-8722.551020408164,184800
166,-8722.551020408164,185920
167,-9131.48076923077,187040
168,-9131.48076923077,188160
169,-9131.48076923077,189280
170,-9131.48076923077,190400
171,-9131.48076923077,191520
172,-9131.48076923077,192640
173,-9131.48076923077,193760
174,-9295.811320754718,194880
175,-9295.811320754718,196000
176,-9295.811320754718,197120
