instance,trial,seed,best_makespan,best_iter,gap_%,time_s
ta72,1,1000,5710,100,10.210384095734414,979.52
ta72,2,1001,5700,100,10.01737116386798,991.48
ta72,3,1002,5726,100,10.51920478672071,990.0
ta72,4,1003,5680,99,9.63134530013511,987.03
ta72,5,1004,5697,100,9.95946728430805,980.62
ta72,6,1005,5664,100,9.322524609148813,995.62
ta72,7,1006,5737,100,10.73151901177379,985.31
ta72,8,1007,5709,95,10.19108280254777,973.75
ta72,9,1008,5586,100,7.81702374059062,987.61
ta72,10,1009,5754,100,11.059640995946728,978.25
