instance,trial,seed,best_makespan,best_iter,gap_%,time_s
ta52,1,1000,3020,97,9.57910014513788,224.02
ta52,2,1001,3104,100,12.62699564586357,222.48
ta52,3,1002,3093,99,12.227866473149492,220.4
ta52,4,1003,3083,88,11.865021770682148,222.65
ta52,5,1004,3042,80,10.377358490566039,222.07
ta52,6,1005,3017,100,9.470246734397678,223.55
ta52,7,1006,3123,90,13.316400580551523,224.85
ta52,8,1007,3070,100,11.393323657474602,224.9
ta52,9,1008,2992,100,8.563134978229318,222.26
ta52,10,1009,3038,100,10.2322206095791,223.69
