instance,trial,seed,best_makespan,best_iter,gap_%,time_s
ta42,1,1000,2254,100,16.24548736462094,1068.04
ta42,2,1001,2254,90,16.24548736462094,1068.51
ta42,3,1002,2276,75,17.380092831356368,1070.86
ta42,4,1003,2291,66,18.15368746776689,1069.43
ta42,5,1004,2250,77,16.03919546157813,1068.55
ta42,6,1005,2251,97,16.090768437338834,1071.83
ta42,7,1006,2253,92,16.193914388860236,1066.87
ta42,8,1007,2294,100,18.308406395048994,1070.7
ta42,9,1008,2279,86,17.534811758638472,1072.1
ta42,10,1009,2215,100,14.234141309953584,1068.56
