instance,trial,seed,best_makespan,best_iter,gap_%,time_s
ta52,1,1000,2951,100,7.0754716981132075,1348.62
ta52,2,1001,2987,98,8.381712626995645,1346.13
ta52,3,1002,3009,98,9.179970972423803,1347.92
ta52,4,1003,2947,100,6.93033381712627,1351.93
ta52,5,1004,2989,100,8.454281567489115,1344.6
ta52,6,1005,2970,98,7.764876632801161,1348.1
ta52,7,1006,2997,100,8.74455732946299,1341.56
ta52,8,1007,2973,100,7.873730043541364,1344.74
ta52,9,1008,2977,99,8.018867924528301,1341.6
ta52,10,1009,2982,99,8.200290275761974,1347.51
