instance,trial,seed,best_makespan,best_iter,gap_%,time_s
ta62,1,1000,3328,96,15.998605785988149,1823.51
ta62,2,1001,3300,94,15.022655977692576,1825.9
ta62,3,1002,3258,100,13.558731265249216,1829.11
ta62,4,1003,3320,99,15.719762983617985,1827.31
ta62,5,1004,3255,98,13.454165214360405,1823.46
ta62,6,1005,3351,99,16.80027884280237,1820.37
ta62,7,1006,3312,99,15.440920181247822,1815.7
ta62,8,1007,3311,99,15.406064830951552,1813.1
ta62,9,1008,3325,100,15.894039735099337,1812.49
ta62,10,1009,3309,99,15.33635413035901,1810.98
