instance,trial,seed,best_makespan,best_iter,gap_%,time_s
ta72,1,1000,7802,100,50.588689442192624,572.81
ta72,2,1001,7549,98,45.70546226597182,569.35
ta72,3,1002,7793,98,50.41497780351283,572.7
ta72,4,1003,7604,97,46.76703339123721,563.99
ta72,5,1004,7530,96,45.33873769542559,575.6
ta72,6,1005,7789,98,50.33777263076626,574.4
ta72,7,1006,7527,100,45.28083381586566,566.93
ta72,8,1007,7710,85,48.81297046902142,568.34
ta72,9,1008,7590,85,46.496815286624205,573.04
ta72,10,1009,7588,94,46.45821270025092,564.14
