iter,reward_mean,timesteps_total
1,,1120
2,,2240
3,,3360
4,,4480
5,,5600
6,,6720
7,,7840
8,,8960
9,,10080
10,,11200
11,,12320
12,,13440
13,,14560
14,,15680
15,,16800
16,,17920
17,,19040
18,,20160
19,,21280
20,,22400
21,,23520
22,,24640
23,,25760
24,,26880
25,,28000
26,,29120
27,,30240
28,,31360
29,,32480
30,,33600
31,,34720
32,,35840
33,,36960
34,,38080
35,,39200
36,,40320
37,,41440
38,,42560
39,,43680
40,,44800
41,,45920
42,-8184.0,47040
43,-8184.0,48160
44,-8184.0,49280
45,-8383.0,50400
46,-8383.0,51520
47,-8383.0,52640
48,-8383.0,53760
49,-8383.0,54880
50,-8383.0,56000
51,-8383.0,57120
52,-8297.0,58240
53,-8297.0,59360
54,-8305.0,60480
55,-8305.0,61600
56,-8305.0,62720
57,-8354.57142857143,63840
58,-8337.1,64960
59,-8337.1,66080
60,-8374.818181818182,67200
61,-8374.818181818182,68320
62,-8443.461538461539,69440
63,-8443.461538461539,70560
64,-8443.461538461539,71680
65,-8443.461538461539,72800
66,-8443.461538461539,73920
67,-8548.07142857143,75040
68,-8599.0,76160
69,-8599.0,77280
70,-8599.0,78400
71,-8599.0,79520
72,-8702.058823529413,80640
73,-8727.6,81760
74,-8727.6,82880
75,-8727.6,84000
76,-8727.6,85120
77,-8727.6,86240
78,-8727.6,87360
79,-8727.6,88480
80,-8727.6,89600
81,-8727.6,90720
82,-8727.6,91840
83,-8727.6,92960
84,-8727.6,94080
85,-8727.6,95200
86,-8727.6,96320
87,-8727.6,97440
88,-8727.6,98560
89,-8767.047619047618,99680
90,-8767.047619047618,100800
91,-8836.454545454546,101920
92,-8836.454545454546,103040
93,-8836.454545454546,104160
94,-8836.454545454546,105280
95,-8836.454545454546,106400
96,-8902.521739130434,107520
97,-8902.521739130434,108640
98,-8942.541666666666,109760
99,-8942.541666666666,110880
100,-8942.541666666666,112000
101,-8979.8,113120
102,-8979.8,114240
103,-8979.8,115360
104,-8979.8,116480
105,-8979.8,117600
106,-8979.8,118720
107,-9013.076923076924,119840
108,-9013.076923076924,120960
109,-9013.076923076924,122080
110,-9013.076923076924,123200
111,-9013.076923076924,124320
112,-9013.076923076924,125440
113,-9013.076923076924,126560
114,-9013.076923076924,127680
115,-9077.925925925925,128800
116,-9150.142857142857,129920
117,-9150.142857142857,131040
118,-9150.142857142857,132160
119,-9150.142857142857,133280
120,-9150.142857142857,134400
121,-9150.142857142857,135520
122,-9150.142857142857,136640
123,-9150.142857142857,137760
124,-9150.142857142857,138880
125,-9150.142857142857,140000
126,-9150.142857142857,141120
127,-9150.142857142857,142240
128,-9150.142857142857,143360
129,-9150.142857142857,144480
130,-9150.142857142857,145600
131,-9150.142857142857,146720
132,-9287.0,147840
133,-9287.0,148960
134,-9287.0,150080
135,-9287.0,151200
136,-9287.0,152320
137,-9287.0,153440
138,-9287.0,154560
139,-9287.0,155680
140,-9287.0,156800
141,-9287.0,157920
142,-9287.0,159040
143,-9287.0,160160
144,-9287.0,161280
145,-9287.0,162400
146,-9287.0,163520
147,-9287.0,164640
148,-9287.0,165760
149,-9287.0,166880
150,-9287.0,168000
151,-9287.0,169120
152,-9353.322580645161,170240
153,-9353.322580645161,171360
154,-9353.322580645161,172480
155,-9353.322580645161,173600
156,-9353.322580645161,174720
157,-9353.322580645161,175840
158,-9353.322580645161,176960
159,-9353.322580645161,178080
160,-9353.322580645161,179200
161,-9353.322580645161,180320
162,-9353.322580645161,181440
163,-9353.322580645161,182560
164,-9353.322580645161,183680
165,-9353.322580645161,184800
166,-9353.322580645161,185920
167,-9353.322580645161,187040
168,-9428.625,188160
169,-9428.625,189280
170,-9428.625,190400
171,-9428.625,191520
172,-9428.625,192640
173,-9428.625,193760
174,-9428.625,194880
175,-9428.625,196000
176,-9428.625,197120
177,-9428.625,198240
178,-9428.625,199360
179,-9428.625,200480
180,-9501.484848484848,201600
181,-9501.484848484848,202720
182,-9501.484848484848,203840
183,-9501.484848484848,204960
184,-9501.484848484848,206080
185,-9501.484848484848,207200
186,-9501.484848484848,208320
187,-9501.484848484848,209440
188,-9501.484848484848,210560
189,-9501.484848484848,211680
190,-9501.484848484848,212800
191,-9501.484848484848,213920
192,-9501.484848484848,215040
193,-9501.484848484848,216160
194,-9501.484848484848,217280
