instance,trial,seed,best_makespan,best_iter,gap_%,time_s
ta62,1,1000,4502,100,56.91878703380969,189.15
ta62,2,1001,4429,92,54.37434646218195,189.18
ta62,3,1002,4392,99,53.08469850121994,186.82
