iteration,episode_reward_mean,makespan,optimality_gap,time_elapsed_sec
1,2.6152703505644403,,,45.2709276676178
2,2.9826787732924647,,,91.48676180839539
3,4.731274559436822,,,136.8155484199524
4,6.798539961330631,,,182.505224943161
5,7.397979797979768,,,228.42251420021057
6,8.981240981240953,,,274.6326115131378
7,9.427334570191682,,,320.36755108833313
8,10.961399711399682,,,366.37174940109253
9,11.851531184864488,,,411.9747824668884
10,12.586580086580057,,,457.45685482025146
11,13.275613275613246,,,503.1950168609619
12,13.959956709956682,,,549.5636863708496
13,14.782550782550752,,,595.5749869346619
14,15.440630797773625,,,642.0976150035858
15,16.894444444444417,,,688.0844266414642
16,18.565353535353506,,,733.6115834712982
17,20.014343434343406,,,779.8130252361298
18,21.052323232323207,,,825.547619342804
19,22.101616161616132,,,870.8723137378693
20,23.30999999999997,,,916.4207789897919
21,24.680606060606035,,,961.6211583614349
22,25.14707070707068,,,1006.9653916358948
23,26.20474747474745,,,1052.5146942138672
24,27.41363636363634,,,1098.2229206562042
25,28.577676767676742,,,1144.1203780174255
26,29.72686868686866,,,1189.320083618164
27,31.217272727272704,,,1234.9321281909943
28,32.31242424242422,,,1280.1326231956482
29,33.40515151515149,,,1325.4265789985657
30,34.61484848484846,,,1371.4730920791626
31,35.90656565656564,,,1417.451149225235
32,37.37070707070705,,,1462.3632137775421
33,38.98939393939392,,,1507.1663887500763
34,40.23545454545452,,,1552.8649542331696
35,41.29040404040401,,,1598.3804824352264
36,42.375555555555536,,,1643.611763715744
37,43.1561616161616,,,1689.089455127716
38,44.14404040404039,,,1734.9635682106018
39,44.828585858585846,,,1780.3020231723785
40,45.113636363636346,,,1825.2632992267609
41,45.695252525252506,,,1870.8919451236725
42,46.22232323232321,,,1916.539568901062
43,46.636868686868674,,,1961.2868173122406
